split_scheme,seed,feature_level,partition,class,precision,recall,f1_score,support
Grouped-random,62,C,train,NORMAL,0.683982683982684,0.251792828685259,0.36808386721025044,2510.0
Grouped-random,62,C,train,ACCIDENT,0.11306340718105425,0.42045454545454547,0.1782059000602047,352.0
Grouped-random,62,C,train,OTHER_DISRUPTION,0.24242424242424243,0.42770352369380316,0.30945054945054945,823.0
Grouped-random,62,C,validation,NORMAL,0.705607476635514,0.2849056603773585,0.40591397849462363,530.0
Grouped-random,62,C,validation,ACCIDENT,0.1016260162601626,0.31645569620253167,0.15384615384615385,79.0
Grouped-random,62,C,validation,OTHER_DISRUPTION,0.22530864197530864,0.41714285714285715,0.2925851703406814,175.0
Grouped-random,62,C,test,NORMAL,0.655,0.24214417744916822,0.3535762483130904,541.0
Grouped-random,62,C,test,ACCIDENT,0.11678832116788321,0.43243243243243246,0.1839080459770115,74.0
Grouped-random,62,C,test,OTHER_DISRUPTION,0.2204968944099379,0.39226519337016574,0.2823061630218688,181.0
Grouped-random,42,D,train,NORMAL,0.6998202516476932,0.4653386454183267,0.5589854032065087,2510.0
Grouped-random,42,D,train,ACCIDENT,0.11976630963972736,0.3494318181818182,0.1783901377810007,352.0
Grouped-random,42,D,train,OTHER_DISRUPTION,0.2568250758341759,0.3086269744835966,0.2803532008830022,823.0
Grouped-random,42,D,validation,NORMAL,0.7101827676240209,0.5132075471698113,0.5958378970427163,530.0
Grouped-random,42,D,validation,ACCIDENT,0.09644670050761421,0.24050632911392406,0.13768115942028986,79.0
Grouped-random,42,D,validation,OTHER_DISRUPTION,0.25,0.2914285714285714,0.2691292875989446,175.0
Grouped-random,42,D,test,NORMAL,0.6592797783933518,0.4399260628465804,0.5277161862527716,541.0
Grouped-random,42,D,test,ACCIDENT,0.1059322033898305,0.33783783783783783,0.16129032258064516,74.0
Grouped-random,42,D,test,OTHER_DISRUPTION,0.20603015075376885,0.2265193370165746,0.21578947368421053,181.0
Grouped-random,52,D,train,NORMAL,0.7424798239178283,0.40318725099601593,0.5225923057061709,2510.0
Grouped-random,52,D,train,ACCIDENT,0.16764361078546308,0.40625,0.23734439834024895,352.0
Grouped-random,52,D,train,OTHER_DISRUPTION,0.2784206943498979,0.49696233292831105,0.3568935427574171,823.0
Grouped-random,52,D,validation,NORMAL,0.6725352112676056,0.360377358490566,0.4692874692874693,530.0
Grouped-random,52,D,validation,ACCIDENT,0.13333333333333333,0.27848101265822783,0.18032786885245902,79.0
Grouped-random,52,D,validation,OTHER_DISRUPTION,0.23880597014925373,0.45714285714285713,0.3137254901960784,175.0
Grouped-random,52,D,test,NORMAL,0.6754966887417219,0.37707948243992606,0.48398576512455516,541.0
Grouped-random,52,D,test,ACCIDENT,0.13259668508287292,0.32432432432432434,0.18823529411764706,74.0
Grouped-random,52,D,test,OTHER_DISRUPTION,0.25559105431309903,0.4419889502762431,0.32388663967611336,181.0
Grouped-random,62,D,train,NORMAL,0.6919575113808801,0.3633466135458167,0.47648902821316613,2510.0
Grouped-random,62,D,train,ACCIDENT,0.11202938475665748,0.3465909090909091,0.1693268563497571,352.0
Grouped-random,62,D,train,OTHER_DISRUPTION,0.23865414710485133,0.370595382746051,0.2903379343169919,823.0
Grouped-random,62,D,validation,NORMAL,0.660377358490566,0.330188679245283,0.44025157232704404,530.0
Grouped-random,62,D,validation,ACCIDENT,0.09767441860465116,0.26582278481012656,0.14285714285714285,79.0
Grouped-random,62,D,validation,OTHER_DISRUPTION,0.2236842105263158,0.38857142857142857,0.2839248434237996,175.0
Grouped-random,62,D,test,NORMAL,0.6600790513833992,0.30868761552680224,0.42065491183879095,541.0
Grouped-random,62,D,test,ACCIDENT,0.09448818897637795,0.32432432432432434,0.14634146341463414,74.0
Grouped-random,62,D,test,OTHER_DISRUPTION,0.20761245674740483,0.3314917127071823,0.2553191489361702,181.0
Spatial,42,A,train,NORMAL,0.684503127171647,0.3913388955105284,0.49797775530839233,2517.0
Spatial,42,A,train,ACCIDENT,0.1096023278370514,0.3256484149855908,0.16400580551523947,347.0
Spatial,42,A,train,OTHER_DISRUPTION,0.2441200324412003,0.35876042908224076,0.2905405405405405,839.0
Spatial,42,A,validation,NORMAL,0.659375,0.3843351548269581,0.4856156501726122,549.0
Spatial,42,A,validation,ACCIDENT,0.09865470852017937,0.2619047619047619,0.14332247557003258,84.0
Spatial,42,A,validation,OTHER_DISRUPTION,0.22433460076045628,0.34104046242774566,0.2706422018348624,173.0
Spatial,42,A,test,NORMAL,0.6812933025404158,0.5728155339805825,0.6223628691983122,515.0
Spatial,42,A,test,ACCIDENT,0.13068181818181818,0.3108108108108108,0.184,74.0
Spatial,42,A,test,OTHER_DISRUPTION,0.25170068027210885,0.2215568862275449,0.2356687898089172,167.0
Spatial,52,A,train,NORMAL,0.6798114016288042,0.6301152165276123,0.654020618556701,2517.0
Spatial,52,A,train,ACCIDENT,0.12140575079872204,0.21902017291066284,0.15621788283658788,347.0
Spatial,52,A,train,OTHER_DISRUPTION,0.239247311827957,0.21215733015494637,0.22488945041061276,839.0
Spatial,52,A,validation,NORMAL,0.6706114398422091,0.6193078324225865,0.6439393939393939,549.0
Spatial,52,A,validation,ACCIDENT,0.11920529801324503,0.21428571428571427,0.15319148936170213,84.0
Spatial,52,A,validation,OTHER_DISRUPTION,0.19594594594594594,0.1676300578034682,0.1806853582554517,173.0
Spatial,52,A,test,NORMAL,0.6782608695652174,0.7572815533980582,0.7155963302752294,515.0
Spatial,52,A,test,ACCIDENT,0.12121212121212122,0.16216216216216217,0.13872832369942195,74.0
Spatial,52,A,test,OTHER_DISRUPTION,0.23170731707317074,0.11377245508982035,0.15261044176706828,167.0
Spatial,62,A,train,NORMAL,0.6965699208443272,0.2097735399284863,0.32244274809160306,2517.0
Spatial,62,A,train,ACCIDENT,0.11213720316622691,0.24495677233429394,0.15384615384615385,347.0
