split_scheme,seed,feature_level,partition,class,precision,recall,f1_score,support
Spatial,42,A,test,ACCIDENT,0.1339712918660287,0.3783783783783784,0.1978798586572438,74.0
Spatial,42,A,test,OTHER_DISRUPTION,0.24664879356568364,0.5508982035928144,0.34074074074074073,167.0
Spatial,52,A,train,NORMAL,0.6967136150234742,0.2947953913388955,0.41429369067560023,2517.0
Spatial,52,A,train,ACCIDENT,0.1106679960119641,0.31988472622478387,0.16444444444444445,347.0
Spatial,52,A,train,OTHER_DISRUPTION,0.2434250764525994,0.47437425506555425,0.3217461600646726,839.0
Spatial,52,A,validation,NORMAL,0.7289719626168224,0.28415300546448086,0.4089121887287025,549.0
Spatial,52,A,validation,ACCIDENT,0.1145374449339207,0.30952380952380953,0.16720257234726688,84.0
Spatial,52,A,validation,OTHER_DISRUPTION,0.23013698630136986,0.48554913294797686,0.31226765799256506,173.0
Spatial,52,A,test,NORMAL,0.6820809248554913,0.229126213592233,0.3430232558139535,515.0
Spatial,52,A,test,ACCIDENT,0.12408759124087591,0.22972972972972974,0.16113744075829384,74.0
Spatial,52,A,test,OTHER_DISRUPTION,0.24887892376681614,0.6646706586826348,0.3621533442088091,167.0
Spatial,62,A,train,NORMAL,0.6819407008086253,0.30154946364719903,0.41818181818181815,2517.0
Spatial,62,A,train,ACCIDENT,0.10655737704918032,0.3746397694524496,0.16592214422463306,347.0
Spatial,62,A,train,OTHER_DISRUPTION,0.23722627737226276,0.3873659117997616,0.29425079221367134,839.0
Spatial,62,A,validation,NORMAL,0.7043478260869566,0.29508196721311475,0.4159178433889602,549.0
Spatial,62,A,validation,ACCIDENT,0.11372549019607843,0.34523809523809523,0.1710914454277286,84.0
Spatial,62,A,validation,OTHER_DISRUPTION,0.24299065420560748,0.4508670520231214,0.3157894736842105,173.0
Spatial,62,A,test,NORMAL,0.7293233082706767,0.1883495145631068,0.2993827160493827,515.0
Spatial,62,A,test,ACCIDENT,0.14871794871794872,0.3918918918918919,0.21561338289962825,74.0
Spatial,62,A,test,OTHER_DISRUPTION,0.24766355140186916,0.6347305389221557,0.3563025210084034,167.0
Spatial,42,B,train,NORMAL,0.6813397129186602,0.5657528804131903,0.6181897113088778,2517.0
Spatial,42,B,train,ACCIDENT,0.1423841059602649,0.2478386167146974,0.1808622502628812,347.0
Spatial,42,B,train,OTHER_DISRUPTION,0.24380574826560952,0.2932061978545888,0.2662337662337662,839.0
Spatial,42,B,validation,NORMAL,0.693304535637149,0.5846994535519126,0.6343873517786561,549.0
Spatial,42,B,validation,ACCIDENT,0.1488095238095238,0.2976190476190476,0.1984126984126984,84.0
Spatial,42,B,validation,OTHER_DISRUPTION,0.24,0.24277456647398843,0.2413793103448276,173.0
Spatial,42,B,test,NORMAL,0.6804123711340206,0.6407766990291263,0.66,515.0
Spatial,42,B,test,ACCIDENT,0.13829787234042554,0.17567567567567569,0.15476190476190477,74.0
Spatial,42,B,test,OTHER_DISRUPTION,0.23163841807909605,0.24550898203592814,0.23837209302325582,167.0
Spatial,52,B,train,NORMAL,0.7047146401985112,0.22566547477155344,0.34185976527234424,2517.0
Spatial,52,B,train,ACCIDENT,0.12518853695324283,0.4783861671469741,0.19844590555887626,347.0
Spatial,52,B,train,OTHER_DISRUPTION,0.2501591343093571,0.4684147794994041,0.3261410788381743,839.0
Spatial,52,B,validation,NORMAL,0.7043010752688172,0.23861566484517305,0.3564625850340136,549.0
Spatial,52,B,validation,ACCIDENT,0.13538461538461538,0.5238095238095238,0.21515892420537897,84.0
Spatial,52,B,validation,OTHER_DISRUPTION,0.2576271186440678,0.4393063583815029,0.3247863247863248,173.0
Spatial,52,B,test,NORMAL,0.697986577181208,0.20194174757281552,0.3132530120481928,515.0
Spatial,52,B,test,ACCIDENT,0.13924050632911392,0.44594594594594594,0.21221864951768488,74.0
Spatial,52,B,test,OTHER_DISRUPTION,0.24864864864864866,0.5508982035928144,0.3426443202979516,167.0
Spatial,62,B,train,NORMAL,0.6851975887474883,0.4064362336114422,0.5102244389027432,2517.0
Spatial,62,B,train,ACCIDENT,0.10784313725490197,0.4438040345821326,0.1735211267605634,347.0
Spatial,62,B,train,OTHER_DISRUPTION,0.24680306905370844,0.2300357568533969,0.23812461443553362,839.0
Spatial,62,B,validation,NORMAL,0.6928327645051194,0.3697632058287796,0.4821852731591449,549.0
Spatial,62,B,validation,ACCIDENT,0.12394366197183099,0.5238095238095238,0.20045558086560364,84.0
Spatial,62,B,validation,OTHER_DISRUPTION,0.25316455696202533,0.23121387283236994,0.24169184290030213,173.0
Spatial,62,B,test,NORMAL,0.7104377104377104,0.4097087378640777,0.5197044334975369,515.0
Spatial,62,B,test,ACCIDENT,0.10218978102189781,0.3783783783783784,0.16091954022988506,74.0
Spatial,62,B,test,OTHER_DISRUPTION,0.2594594594594595,0.2874251497005988,0.2727272727272727,167.0
Spatial,42,C,train,NORMAL,0.6798664122137404,0.566150178784267,0.6178192065900715,2517.0
Spatial,42,C,train,ACCIDENT,0.1251908396946565,0.23631123919308358,0.16367265469061876,347.0
Spatial,42,C,train,OTHER_DISRUPTION,0.23319327731092437,0.26460071513706795,0.24790619765494137,839.0
Spatial,42,C,validation,NORMAL,0.7012987012987013,0.5901639344262295,0.6409495548961425,549.0
