split_scheme,feature_level,class,partition,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,support_mean
Spatial,C,OTHER_DISRUPTION,test,0.21478136789964145,0.040743825112007394,0.4091816367265469,0.2886906604673003,0.2610295356547482,0.13045014796040938,167.0
Spatial,C,OTHER_DISRUPTION,train,0.24612894748771788,0.011753047105650208,0.40444974175605886,0.12148757952239261,0.30240467344303357,0.04749702511890069,839.0
Spatial,C,OTHER_DISRUPTION,validation,0.2459752778211196,0.009554416086722724,0.3795761078998073,0.1156550959418799,0.2946242249209225,0.0408372233305618,173.0
Spatial,D,ACCIDENT,test,0.13012909343078594,0.006001019075751312,0.2927927927927928,0.043439868292761044,0.17987558659827566,0.014065628955460225,74.0
Spatial,D,ACCIDENT,train,0.1270541518947576,0.020872288662321242,0.3765609990393852,0.11110372861960437,0.18898172476668731,0.03679984639300528,347.0
Spatial,D,ACCIDENT,validation,0.12250673216146363,0.009702177350032265,0.3452380952380952,0.09744467585562439,0.1776210869125522,0.008988607488150906,84.0
Spatial,D,NORMAL,test,0.7047874774058153,0.02077037448305334,0.41877022653721685,0.1607355762489545,0.5128332916424269,0.11377629536694167,515.0
Spatial,D,NORMAL,train,0.7020741395748668,0.027976549311349765,0.3904118659780161,0.12843577535795556,0.4922407565714253,0.09401057574840437,2517.0
Spatial,D,NORMAL,validation,0.7001963019250254,0.020176043031825498,0.421979356405586,0.10788922673902164,0.5219142728168155,0.08300652731185702,549.0
Spatial,D,OTHER_DISRUPTION,test,0.24343245791902954,0.010447409265275234,0.4071856287425149,0.19189724980792894,0.28937036343138123,0.06587518075520006,167.0
Spatial,D,OTHER_DISRUPTION,train,0.25340217433150275,0.016090043625916487,0.3877632101708383,0.12169788034638722,0.3030479194148161,0.049797348787116474,839.0
Spatial,D,OTHER_DISRUPTION,validation,0.24022925404131,0.005102349664008167,0.325626204238921,0.056141819978163636,0.2750900642324718,0.019473670095914684,173.0
