event_sample_id,station_id,anchor_time,window_start,window_end,target_class,split_group_id,sample_type,flow_t_minus_3,flow_t_minus_2,flow_t_minus_1,flow_t0,flow_t_plus_1,flow_t_plus_2,flow_t_plus_3
INCIDENT__247334-webtirf__9836-PR,9836-PR,2025-08-26 21:00:00,2025-08-26 18:00:00,2025-08-27 00:00:00,OTHER_DISRUPTION,GROUP__9836-PR__0005,INCIDENT,1442.0,1039.0,787.0,622.0,414.0,212.0,10.0
INCIDENT__249849-webtirf__9836-PR,9836-PR,2025-09-17 06:00:00,2025-09-17 03:00:00,2025-09-17 09:00:00,OTHER_DISRUPTION,GROUP__9836-PR__0006,INCIDENT,14.0,41.0,79.0,200.0,166.0,163.0,168.0
INCIDENT__254551-webtirf__9836-PR,9836-PR,2025-11-02 20:00:00,2025-11-02 17:00:00,2025-11-02 23:00:00,ACCIDENT,GROUP__9836-PR__0007,INCIDENT,68.0,64.0,57.0,36.0,37.0,21.0,19.0
INCIDENT__255618-webtirf__9836-PR,9836-PR,2025-11-13 07:00:00,2025-11-13 04:00:00,2025-11-13 10:00:00,ACCIDENT,GROUP__9836-PR__0008,INCIDENT,53.0,85.0,194.0,157.0,148.0,177.0,154.0
INCIDENT__222953-webtirf__9849,9849,2025-02-05 18:00:00,2025-02-05 15:00:00,2025-02-05 21:00:00,ACCIDENT,GROUP__9849__0001,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCIDENT__223290.0-webtirf__9849,9849,2025-02-09 02:00:00,2025-02-08 23:00:00,2025-02-09 05:00:00,ACCIDENT,GROUP__9849__0002,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCIDENT__224412-webtirf__9849,9849,2025-02-19 05:00:00,2025-02-19 02:00:00,2025-02-19 08:00:00,ACCIDENT,GROUP__9849__0003,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCIDENT__224898-webtirf__9849,9849,2025-02-24 21:00:00,2025-02-24 18:00:00,2025-02-25 00:00:00,ACCIDENT,GROUP__9849__0004,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCIDENT__231378-webtirf__9849,9849,2025-04-14 05:00:00,2025-04-14 02:00:00,2025-04-14 08:00:00,ACCIDENT,GROUP__9849__0005,INCIDENT,0.0,0.0,0.0,0.0,1.0,0.0,0.0
INCIDENT__231711-webtirf__9849,9849,2025-04-16 20:00:00,2025-04-16 17:00:00,2025-04-16 23:00:00,ACCIDENT,GROUP__9849__0006,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCIDENT__238403-webtirf__9849,9849,2025-06-08 06:00:00,2025-06-08 03:00:00,2025-06-08 09:00:00,ACCIDENT,GROUP__9849__0007,INCIDENT,0.0,0.0,5.0,8.0,10.0,18.0,16.0
INCIDENT__245854-webtirf__9849,9849,2025-08-15 07:00:00,2025-08-15 04:00:00,2025-08-15 10:00:00,ACCIDENT,GROUP__9849__0008,INCIDENT,7.0,25.0,113.0,81.0,60.0,63.0,75.0
INCIDENT__260481-webtirf__9849,9849,2025-12-29 19:00:00,2025-12-29 16:00:00,2025-12-29 22:00:00,OTHER_DISRUPTION,GROUP__9849__0009,INCIDENT,13.0,21.0,10.0,11.0,11.0,4.0,4.0
INCIDENT__220930.0-webtirf__F3FWY001,F3FWY001,2025-01-17 01:00:00,2025-01-16 22:00:00,2025-01-17 04:00:00,ACCIDENT,GROUP__F3FWY001__0001,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,203.0
INCIDENT__221020.0-webtirf__F3FWY001,F3FWY001,2025-01-17 06:00:00,2025-01-17 03:00:00,2025-01-17 09:00:00,ACCIDENT,GROUP__F3FWY001__0001,INCIDENT,0.0,203.0,401.0,625.0,583.0,543.0,535.0
INCIDENT__224435-webtirf__F3FWY001,F3FWY001,2025-02-19 11:00:00,2025-02-19 08:00:00,2025-02-19 14:00:00,OTHER_DISRUPTION,GROUP__F3FWY001__0002,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCIDENT__229462-webtirf__F3FWY001,F3FWY001,2025-03-29 05:00:00,2025-03-29 02:00:00,2025-03-29 08:00:00,ACCIDENT,GROUP__F3FWY001__0003,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCIDENT__230474-webtirf__F3FWY001,F3FWY001,2025-04-05 19:00:00,2025-04-05 16:00:00,2025-04-05 22:00:00,ACCIDENT,GROUP__F3FWY001__0004,INCIDENT,221.0,208.0,170.0,126.0,95.0,73.0,81.0
INCIDENT__232066-webtirf__F3FWY001,F3FWY001,2025-04-21 23:00:00,2025-04-21 20:00:00,2025-04-22 02:00:00,ACCIDENT,GROUP__F3FWY001__0005,INCIDENT,129.0,109.0,97.0,86.0,66.0,68.0,74.0
INCIDENT__235953-webtirf__F3FWY001,F3FWY001,2025-05-22 00:00:00,2025-05-21 21:00:00,2025-05-22 03:00:00,ACCIDENT,GROUP__F3FWY001__0006,INCIDENT,706.0,539.0,368.0,21.0,25.0,23.0,25.0
INCIDENT__243814-webtirf__F3FWY001,F3FWY001,2025-07-30 09:00:00,2025-07-30 06:00:00,2025-07-30 12:00:00,ACCIDENT,GROUP__F3FWY001__0007,INCIDENT,1515.0,1756.0,1763.0,1702.0,1769.0,744.0,1790.0
INCIDENT__245943-webtirf__F3FWY001,F3FWY001,2025-08-17 01:00:00,2025-08-16 22:00:00,2025-08-17 04:00:00,OTHER_DISRUPTION,GROUP__F3FWY001__0008,INCIDENT,51.0,42.0,42.0,20.0,25.0,40.0,55.0
INCIDENT__252349-webtirf__F3FWY001,F3FWY001,2025-10-12 17:00:00,2025-10-12 14:00:00,2025-10-12 20:00:00,ACCIDENT,GROUP__F3FWY001__0009,INCIDENT,377.0,377.0,336.0,322.0,232.0,185.0,197.0
INCIDENT__255482-webtirf__F3FWY001,F3FWY001,2025-11-12 05:00:00,2025-11-12 02:00:00,2025-11-12 08:00:00,OTHER_DISRUPTION,GROUP__F3FWY001__0010,INCIDENT,153.0,163.0,313.0,656.0,880.0,748.0,850.0
