match_key,station_key,date,associated_parent_station_id,hour_str,flow,hour_int,flow_dt
15334016,15334016,2025-01-17 00:00:00+00,34016,hour_00,7.0,0,2025-01-17 00:00:00
17126149,17126149,2025-01-17 00:00:00+00,7126,hour_00,127.0,0,2025-01-17 00:00:00
17126149,17126149,2025-01-17 00:00:00+00,7126,hour_00,10.0,0,2025-01-17 00:00:00
17126147,17126147,2025-01-17 00:00:00+00,7126,hour_00,7.0,0,2025-01-17 00:00:00
17126147,17126147,2025-01-17 00:00:00+00,7126,hour_00,2.0,0,2025-01-17 00:00:00
15334016,15334016,2025-01-18 00:00:00+00,34016,hour_00,,0,2025-01-18 00:00:00
17126149,17126149,2025-01-18 00:00:00+00,7126,hour_00,290.0,0,2025-01-18 00:00:00
17126147,17126147,2025-01-18 00:00:00+00,7126,hour_00,11.0,0,2025-01-18 00:00:00
17126147,17126147,2025-01-18 00:00:00+00,7126,hour_00,2.0,0,2025-01-18 00:00:00
17126147,17126147,2025-01-18 00:00:00+00,7126,hour_00,7.0,0,2025-01-18 00:00:00
17126149,17126149,2025-01-18 00:00:00+00,7126,hour_00,9.0,0,2025-01-18 00:00:00
15334016,15334016,2025-01-18 00:00:00+00,34016,hour_00,,0,2025-01-18 00:00:00
17126147,17126147,2025-01-18 00:00:00+00,7126,hour_00,4.0,0,2025-01-18 00:00:00
17126147,17126147,2025-01-19 00:00:00+00,7126,hour_00,4.0,0,2025-01-19 00:00:00
17126147,17126147,2025-01-19 00:00:00+00,7126,hour_00,2.0,0,2025-01-19 00:00:00
17126147,17126147,2025-01-19 00:00:00+00,7126,hour_00,5.0,0,2025-01-19 00:00:00
17126147,17126147,2025-01-19 00:00:00+00,7126,hour_00,10.0,0,2025-01-19 00:00:00
17126147,17126147,2025-01-20 00:00:00+00,7126,hour_00,10.0,0,2025-01-20 00:00:00
17126147,17126147,2025-01-20 00:00:00+00,7126,hour_00,3.0,0,2025-01-20 00:00:00
17126147,17126147,2025-01-20 00:00:00+00,7126,hour_00,2.0,0,2025-01-20 00:00:00
17126147,17126147,2025-01-20 00:00:00+00,7126,hour_00,6.0,0,2025-01-20 00:00:00
17126149,17126149,2025-01-21 00:00:00+00,7126,hour_00,9.0,0,2025-01-21 00:00:00
17126149,17126149,2025-01-21 00:00:00+00,7126,hour_00,86.0,0,2025-01-21 00:00:00
15334016,15334016,2025-01-22 00:00:00+00,34016,hour_00,9.0,0,2025-01-22 00:00:00
15334016,15334016,2025-01-22 00:00:00+00,34016,hour_00,77.0,0,2025-01-22 00:00:00
17126149,17126149,2025-01-22 00:00:00+00,7126,hour_00,10.0,0,2025-01-22 00:00:00
17126149,17126149,2025-01-22 00:00:00+00,7126,hour_00,107.0,0,2025-01-22 00:00:00
18479658,18479658,2025-01-23 00:00:00+00,9658,hour_00,,0,2025-01-23 00:00:00
17126148,17126148,2025-01-23 00:00:00+00,7126,hour_00,17.0,0,2025-01-23 00:00:00
18479658,18479658,2025-01-23 00:00:00+00,9658,hour_00,,0,2025-01-23 00:00:00
17126149,17126149,2025-01-23 00:00:00+00,7126,hour_00,5.0,0,2025-01-23 00:00:00
17126148,17126148,2025-01-23 00:00:00+00,7126,hour_00,107.0,0,2025-01-23 00:00:00
18479658,18479658,2025-01-23 00:00:00+00,9658,hour_00,,0,2025-01-23 00:00:00
15334016,15334016,2025-01-23 00:00:00+00,34016,hour_00,76.0,0,2025-01-23 00:00:00
17126149,17126149,2025-01-23 00:00:00+00,7126,hour_00,107.0,0,2025-01-23 00:00:00
15334016,15334016,2025-01-23 00:00:00+00,34016,hour_00,4.0,0,2025-01-23 00:00:00
